tweet_id,customer_text,historical_reply
279151,"@AmazonHelp The issue is I received a product with horrible, disinterested and shabby gift wrapping. I have to wrap it again. What will you do about it?",@182573 Apologies for the ordeal. This wasn't intended. We'll be sure to forward this internally to ensure this won't be repeated. ^VN
442882,"@AmazonHelp You are getting paid just to reply the tweets and you are only concern about your 9 to 5 job. Nothing else, if you would have really understood the pain behind such experience you would have gone extra mile and helped me with quick pick up and quick refund within 24 hr. Expected.",@219975 I realize you've had an unpleasant experience. Please understand that we'll not be able to initiate an advance refund for a product. It must reach our facility for an automated refund. Appreciate your understanding here. ^JC
450681,@AmazonHelp no hay coherencia https://t.co/EoT8gLA9VK,@221855 ¿Nos podrías indicar si este pedido es vendido directamente por Amazon o por un vendedor externo? ^ES
699998,@116316 wow nen größeren Karton gab's wohl nicht? https://t.co/cjInFVHLvy,@287012 Das ist in der Tat viel Verpackung für den Artikel. Du kannst uns über den folgenden Link Feedback zur Verpackung geben: https://t.co/dLhbMTHfvK So erreicht es direkt unsere zuständige Stelle. :) ^SK
313292,@AmazonHelp Yes Product have been picked up today evening. Thank you...,@190810 Thanks for the heads up. We're here to help if you need us. ^VN
1551613,So @AmazonHelp how do I cancel an order I never ordered. It's a duplicate but there is no obvious way to cancel anymore.,@480132 If the order hasn't entered the shipping process you can learn how to cancel here: https://t.co/YhlVxGVfjl ^JM
579868,@AmazonHelp Amazon prime memebership***,@256570 Was your card added as payment method on your brother's Amazon account to order the phone case?^PJ
1426165,@115821 @AmazonHelp I wish your customer service would stay as good as it used to be. Your customer service is horrendous as of late!,"@451318 I'm sorry for your poor experience. Without providing personal or account details, will you give some details on what happened? ^LL"
1065155,I am really glad that @115821 refuses to help me get $300 back for a bed I bought that came with no instructions. Thanks,@371480 I'm sorry for this experience. Can you tell us more about what happened without posting account or order info? ^DO
2835650,"@AmazonHelp You've been great help, My package it's on the way.
Thanks!😀😀😀😀😀😀","@789288 Great Naty, glad to hear. Keep us posted :) ^TP"
344363,@AmazonHelp It's very painful that Amazon like organisation does not have customer redressal. I complained few months back double debit still unattended,@197901 Apologies for the ordeal Srinivas. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN
2265553,@AmazonHelp Any options for paypal transfer,"@659465 Amazon pay balance is non-transferable to any other platforms or mediums, we have consolidated the terms &amp; conditions here: https://t.co/8K8SIfLcIA please check. ^MJ"
262529,@AmazonHelp Bought 2 phones in Dec. Found out they are counterfeit &amp; don't work. Seller closed acct. &amp; took my $500. Amazon CS is NO help :(,"@178540 I'm sorry for the poor experience. When you spoke to us, what options or information were we able to provide? ^WT"
206756,@115830 please advise of your complaints process. Your agents on chat and phone refuse to log a complaint.,"@164967 I'm sorry to hear that. W/out giving any order/account specific details, can you let us know what your issue is? ^KM"
500692,@AmazonHelp Anytime they ask me to press 1 it says no action was taken and they hang up on me 😡😡😡😡😡😡😡😡😡😡😡😡,"@234606 That is very strange Amy! If you are having issues reaching our customer service agents by phone, please use the prior link and select the chat function, and we should be able to help you further there! Please let us know if this works for you. ^JD"
1503850,"@AmazonHelp Believe me, I’ve tried on 2 phone, a laptop and 2 tablets. It was a gift voucher which has now been redeemed.","@469052 Hmm, we'd like to try some real-time troubleshooting with you. Please call or chat with us here: https://t.co/PgQlilmBhD ^MB"
205066,I love @117093 but just had our first casualty 🐣 https://t.co/sqnUG6VjY7,@164571 Oh no! Sorry to see this happened! Have you reached out to us to look into available options? Let us know! ^KJ
1334280,"@AmazonHelp Non je viens juste de récupérer mon colis, je vais faire ça","@431265 Vous pouvez contacter notre SAV via le lien suivant : https://t.co/qzuu0dgDXz
^MD"
67504,@AmazonHelp I did report the latest delivery and it seems like it happens a lot as there is a feature for this to complain in place. I also did for the previous delivery and because the box was open then I returned the item.,"@131416 Thank you for reporting these delivery issues. Concerning this present delivery, what were the options that were given to you? We want to assist you in getting your package. ^DJ"
1249014,@115850 @115823 @AmazonHelp  How soon?? https://t.co/rMBzwvuFKf,@413041 We do not have an announcement yet. Kindly stay tuned. ^KA
1437433,@115851 your company cheated me in India. Took money but never delivered the product &amp;nownot cooperating @115850 @115821 @AmazonHelp,"@444190 In order for us to help you, we request you to fill the form. In case you haven't, please do and we'll back to you. ^PB"
1268325,@115850 I have not received  my Sony headphone even after assurance from customer service after 3 days of expected day of delivery.,@416967 Sorry about the delay. I'd like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.^NK
473255,@115821 Second time now your driver has left our item on the step to get stolen!   He knocks then buggers off before we can open the door.  Not good,@227692 I'm so sorry your parcel was stolen! Do you have your unattended delivery preferences set up? You can do so here: https://t.co/63M8wgvXtJ We'd also like to make sure your order is taken care of! Please reach out to us via phone here: https://t.co/JzP7hlA23B ^AR
2531383,"@AmazonHelp Today when I checked, I saw dat d headline was changed to 25th Sept quiz instead of Aug. But the two winners der remained same as last month",@328925 Could you share that link please? ^HA
1184758,@115850 I issues with placing an order OR wrongly placed an order. Pls contact me imdtly.,@398607 We'd like to help. Kindly get in touch with us here: https://t.co/rS49hgaADF ^AK
2759691,"@115821 @AmazonHelp I’ve been a customer for 15 years and spent tens of thousands of dollars but due to a terrible experience with customer service tonight, I’m thinking of canceling my Prime membership and using other services. Train your agents better. #deleteamazon https://t.co/zGCrNRlLq0","@772192 I'm sorry Doug that your experience was less than stellar! Without providing personal details, do you mind sharing with me what prompted the call? ^SY"
13173,@115821 STOP USING THE @118706 They are a useless government entity.,"@118705 I'm very sorry about this experience, Robert. We'd like to help!  Could you tell us more details about what's going on? ^HM"
522498,"@AmazonHelp プライムビデオを今使ってます
色々あってすごい便利でビックリしてます","@240694 お客様に喜んでいただけて何よりです✨
ごゆっくりお楽しみくださいませ( *• ̀ω•́ )b YM"
635749,"@115821 @6954 @1404 @AmazonHelp @115850 A GENUINE COMPANY ONCE IS SURE THAT PRODUCT IS FAKE, WOULD HV ASKD ITS  SUPLIERS TO REPLACE IT IMMEDIATELY &amp; WOULD HV SUSPENDED HIM. HOWEVER  AMAZON INSTEAD HARASSES ITS CUSTOMERS THEREBY SUPPORTING ITS   FRAUD  SUPPLIERS AS IT IS INVOLVED IN IT","@270757 I get your concern. However, all the products sold on Amazon are 100% genuine. If you have any concerns with your order, please connect with our support team here: https://t.co/vlvfJr4nN9 and we'll assist. ^HS"
2775892,"@115850  (1/n) worst customer support ever. Ordered a phone on 15 Nov 2017 and it was having quality issue, a technician came and checked on amazon's behalf and confirmed that. I received a replacement on 19 Nov and this also has the same issue.",@775643 Sorry to hear about your recent experience. Kindly share your details here: https://t.co/beaaDm0muc and we'll have this checked on priority. ^HS
1337221,"@116928 ya está bien con los envíos de Seur: 2 pedidos, 6 artículos, 3 paquetes distintos recibidos y de quién es el que falta? Premio!👎🏻","@431904 Hola Javi, ¿cómo te podemos ayudar? ^MB"
2793140,Once again @115821 can't deliver on time,"@479289 This isn't the experience we strive for Steve, truly sorry for any inconvenience! Have we missed the expected delivery date listed here: https://t.co/aaDyEz1VgE ? What does the tracking display? Please, let us know. ^JE"
1148345,"Finally buyed an Amazon echo Dot, but can't wait till 6 November, btw Amazon where is the prime music, and my prime membership... @115850 https://t.co/b1G9UbUmVm","@201848 I'm glad to hear that. Once the device is shipped, you'll receive both the memberships. Appreciate your patience. ^VN"
2073593,最近買い物したから一瞬ビビったけど、アマゾンジャパン(株)は詐欺メールだな。 https://t.co/muOafs28WH,@613299 ご認識のとおり、当サイトからのメッセージではありません。Amazonや他企業を装ったSMS等を利用してお客様の情報を不正に取得しようとする悪質な詐欺が発生しています。身に覚えのないメールに連絡や、個人情報の登録等をいただかないようお気を付けください。MH https://t.co/0mjPgPMEMa
678346,@AmazonHelp Such a shame that you guys couldnt even take care of your customers. I have incurred a huge loss (INR32999 not less of a money for a middle class person),@281820 I'm sorry for the unpleasant experience with the delivery of your order. Please reach out to us here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^AU
