customer,predicted_intent,reply,proxy_quality_score
"Very uncool of @115821 to charge me 80$ without letting me know, when i signed up for my FREE trail, you thieves",payment_billing,We'd like to look into this with you. Please send us a DM with the relevant order or payment details so the issue can be reviewed securely.,1.0
"@AmazonHelp llevo casi un mes para devolver un producto. Vinieron a buscarlo y aún no he tenido noticias. En la app no sale ni registrada la recogida del paquete, cuando sí lo está. Necesito una solución... porque esto no es normal 😤",promotion,We'd be happy to look into the promotion or offer you're asking about. Please send us a DM with the relevant details.,1.0
"@AmazonHelp hi guys, don't you make DTH recharges? when will this be available? @17120",cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
you've left two things off my order @115830 who do I complain too and when can it get delivered tonight? It was a prime now order.,order_status,"Sorry for the wait. Please check your order details for the current carrier and delivery status, and send us a DM if you need further help.",1.0
@AmazonHelp Someone changed the email address associated with my account (and possibly using my credit cards). Can I get some assistance? 😓,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
"@115850 It's been a month. Amazon agent asked me to cancel order and initiate refund. Upon requesting delivery, Amazon simply keeps pushing dates",cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
"@AmazonHelp if I pre-order an mp3 album and I have a giftcard balance, will it automatically take it off when I order it? it's not showing",cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
I have spent 30 full minutes trying to turn off One-Click so I can buy an @117634 book with a giftcard and I give up. I think I'm going back to paper forever.,gift_card,We'd be happy to help with your gift card concern. Please send us a DM with the relevant details so we can look into it.,1.0
"Thank you, @AmazonHelp! My defective product problem was resolved promptly &amp; professionally. #HappyCamper",product_issue,Sorry you're having trouble with the item. Please send us a DM with your order details so we can look into the issue.,1.0
"@AmazonHelp It has been dealt with the driver came back and delivered it today, I guess I was wrong thank you!",delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
@115821 says my order has been delivered but @118706 either didn’t deliver it yet or it was taken off the porch. #ugh #sofrustrated,order_status,"Sorry for the wait. Please check your order details for the current carrier and delivery status, and send us a DM if you need further help.",1.0
@AmazonHelp My phone has been picked up today now plz tell me when I will be getting the refund as I can't wait now have u buy a new one!! Let me know,refund_return,We'd be happy to look into this. Please send us a DM with your order details so we can check the return or refund status.,1.0
@AmazonHelp Got an email from seller re; my Amazon order placed 2 days ago. They now say they don't have the item &amp; want ME to cancel the order on MY end so it doesn't affect their rating &amp; they will refund me. Feedback on site says another asked to do the same. HELP?,cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
"@AmazonHelp You guys didn't deliver on the day. And when you did deliver, you delivered it to the wrong address. Not bloody bad going if you ask me. But I got a month free of Amazon Prime and I did retrieve my parcel so it was a happy ending.",delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
So finally found out that my package is now “lost” in transit.. funny that something that cost £150 is now lost all of a sudden after supposedly being delivered today? Fuck Amazon.,delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
"@AmazonHelp The only option I was given was ""you can cancel your order if you don't want to wait""...",cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
@AmazonHelp Plz check your internet connection after you log in your email id,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
@AmazonHelp That why we get this Damage product From seller,seller_issue,We'd like to look into the seller-related concern. Please send us a DM with the relevant order details.,1.0
@123813 Para cuando las 3as temporadas de Mr. Robot y Mozart?,general_support,Thanks for reaching out. Please send us a DM with the relevant order or account details so we can look into this further.,1.0
Fake @115821 its 3 months n more stily my account is on hold 5000₹ in @115823  pls don't use @115823 for any transaction they can out your account on hold,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
"Ok, the first sign of the apocalypse.. My @115830 package didn't arrive when it said it would 😮 https://t.co/DRq7UqZANH",seller_issue,We'd like to look into the seller-related concern. Please send us a DM with the relevant order details.,1.0
@AmazonHelp The link takes me to Amazon India! I have an American account,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
WOWWWWW @117795 is sneaky AF. they sent my $27 trash can to the wrong address &amp; it’ll cost me $14 to return it? SMH SMH 🤦🏼‍♀️,refund_return,We'd be happy to look into this. Please send us a DM with your order details so we can check the return or refund status.,1.0
@AmazonHelp Is anyone going to contact me or I have to think of some other means to get my money back?,refund_return,We'd be happy to look into this. Please send us a DM with your order details so we can check the return or refund status.,1.0
"Ok
Thank you
I hope it get delivered
This is 2nd time in a row
#AmazonIndia",delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
@AmazonHelp Yes. They only offered me a refund as the package was not found. I obviously ordered these items for my business and I was 2 receive it today as a prime member. The driver from @115817 needs 2 b reported. My package was left at an unknown location. A notice was not left on my door.,delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
"@AmazonHelp I am unable to contact Amazon about the right product. It only allows me to ""contact seller"" who say to contact you.",seller_issue,We'd like to look into the seller-related concern. Please send us a DM with the relevant order details.,1.0
@UPSHelp  @115821  disappointed!!!! Got 1 out of three.. where my aimbo charger...,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
@115821 @AmazonHelp Tried to cancel order but it’s already “in transit” but I no longer what or need it. Just want my money back.,cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
@132994 Today someone tried to scam me using your name. May be you should post that you don't offer any such offers for the benefit of gullible customers. #AmazonIndia #dontmesswithahyderabadi #scammers https://t.co/bFdTRKREJl,promotion,We'd be happy to look into the promotion or offer you're asking about. Please send us a DM with the relevant details.,1.0
